company_names,company_code,Dividend
Devyani International,DEVYANI.NS,0.00%
Adani Green Energy,ADANIGREEN.NS,0.00%
Reliance Power,RPOWER.NS,0.00%
INEOS Styrolution,INEOSSTYRO.NS,0.00%
Sheela Foam,SFL.NS,0.00%
Sify,SIFY,0.00%
Zee Learn,ZEELEARN.NS,0.00%
Barbeque Nation Hospitality,BARBEQUE.NS,0.00%
Alok Industries,ALOKINDS.NS,0.00%
Asian Granito India,ASIANTILES.NS,0.00%
Schneider Electric Infrastructure,SCHNEIDER.NS,0.00%
Hathway,HATHWAY.NS,0.00%
Delhivery,DELHIVERY.NS,0.00%
Future Retail,FRETAIL.NS,0.00%
Yatra,YTRA,0.00%
Chalet Hotels,CHALET.NS,0.00%
Allcargo Logistics,ALLCARGO.NS,0.00%
Modern Dairies Limited,MODAIRY.BO,0.00%
SpiceJet,SPICEJET.BO,0.00%
Capacit'e Infraprojects,CAPACITE.NS,0.00%
Network18,NETWORK18.NS,0.00%
SML Isuzu,SMLISUZU.NS,0.00%
Radio City,RADIOCITY.NS,0.00%
Hindustan Media Ventures,HMVL.NS,0.00%
Tejas Networks,TEJASNET.NS,0.00%
Aditya Birla Capital,ABCAPITAL.NS,0.00%
Navkar Corp,NAVKARCORP.NS,0.00%
Central Bank of India,CENTRALBK.NS,0.00%
Indus Towers,INDUSTOWER.NS,0.00%
Amber Enterprises India,AMBER.NS,0.00%
Campus Activewear,CAMPUS.NS,0.00%
Himatsingka Seide,HIMATSEIDE.NS,0.00%
sterling & wilson solar,SWSOLAR.NS,0.00%
Gland Pharma,GLAND.NS,0.00%
Future Supply Chain Solutions,FSC.NS,0.00%
Aether Industries,AETHER.NS,0.00%
Inox Wind,INOXWIND.NS,0.00%
Reliance Communications,RCOM.NS,0.00%
Mahanagar Telephone Nigam,MTNL.NS,0.00%
Kingfa Science & Technology,KINGFA.NS,0.00%
Jagran Prakashan,JAGRAN.NS,0.00%
Azure Power,AZREF,0.00%
Jain Irrigation Systems,JISLDVREQS.NS,0.00%
TVS Motor,TVSMOTOR.NS,0.00%
InterGlobe Aviation,INDIGO.NS,0.00%
